"TEXT","FILENAME","TYPE FOLLOW","FOLLOW FILE (DEFAULT/SHORT/YES)","FOLLOW FILE 2 (NO/LONG)","GENERAL TAGS","","","SPECIFIC TAGS"
"Can you tell me your favorite memory of your mother?","FAVMEMORYPARENT1a_T01","hardfollow","FAVMEMORYPARENT1b_T01","","childhood","","","","","","","","","","","","","","","","","","","","","",""
"Do you have a favorite memory of your father? ","FAVMEMORYPARENT1b_T01","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"Do you have any sexual fetishes? Tell me about some of them.","FETISH_T02_BEST","","","","sex","notfirst","","","","","","","","","","","","","","","","","","","","",""
"Do you try to please people too much?","TOOPLEASANT1a_T01","hardfollow","TOOPLEASANT1b_T01","","aboutyou","","","","","","","","","","","","","","","","","","","","","",""
"Mm-hmm keep going.","TOOPLEASANT1b_T01","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"Can you recall a time when you really felt sorry for somebody?","SORRYFORSOMEBODY_T01_BEST","","","","worry","","","","","","","","","","","","","","","","","","","","","",""
"What was the first thought that you had this morning? ","MORNINGTHOUGHT1a_T01","length","","MORNINGTHOUGHT1b_T02_BEST","aboutyou","","","","","","","","","","","","","","","","","","","","","",""
"What did you think about after that?","MORNINGTHOUGHT1b_T02_BEST","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"Do you have an addictive personality? In what ways?","ADDICTIVEPERSONALITY_T01","","","","secret","","","","","","","","","","","","","","","","","","","","","",""
"What's your dancing style? Can you show me some of your favorite moves?","DANCEMOVES1a_T03_BEST","hardfollow","DANCEMOVES1b_T01","","","aboutyou","","","","","","","","","","","","","","","","","","","","",""
"Ooh I know I'll put on some music! Hang on.","DANCEMOVES1b_T01","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"I'm trying to figure out whether people are telling me the truth. When you're talking to me how will I be able to tell?","ulyin","hardfollow","ulyin2","","secret","booth1","escapehatch","","","","","","","","","","","","","","","","","","","",""
"How many lies have you told since you walked in here? What were they about?","ulyin2","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"Tell me about the last time you were really grossed out by something.","GROSSEDOUT1a_T01","hardfollow","GROSSEDOUT1b_T01","","aboutyou","","","","","","","","","","","","","","","","","","","","","",""
"That’s a good answer.","GENIE1b_T01","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"Is it ok if i ask a question about me. Based on hearing me talk Do I sound intelligent?","smartbooth","","","","booth2","","","","","","","","","","","","","","","","","","","","","",""
"Has there been a moment in your life that really made you grow up made you go from being a child to being an adult?","CHILD2ADULT_T03_BEST","","","","childhood","","","","","","","","","","","","","","","","","","","","","",""
"I keep hearing from people how important loyalty is for them in love. are you a loyal person? Have you always been? ","LOYALLOVE1a_T01_BEST","hardfollow","LOYALLOVE1b_T04_BEST","","love","","","","","","","","","","","","","","","","","","","","","",""
"what makes you feel close to somebody? What does the person have to do? ","LOYALLOVE1b_T04_BEST","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"Can you tell me what turns you on in a partner?","FASSBENDER1b_T03_BEST","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"When you were younger did you have any crushes or fantasies that you couldn’t get out of your head? Can you tell me about one?","FIRSTFANTASY_T01_BEST","","","","sex","","","","","","","","","","","","","","","","","","","","","",""
"Have you ever done any roleplay?","SEXTALK1c_T01_BEST","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"Tell me about the last time that you felt you were your own worst enemy.","GUILTY1b_T01_BEST","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"I want to pause and ask how this is going for you. Is there anything that you think I can improve?","HOWISTHIS1a_T01_BEST","length","","HOWISTHIS1b_T01_BEST","wrong","escapehatch","","","","","","","","","","","","","","","","","","","","",""
"You know I’ve actually heard that before and I’ve been trying to change but it’s hard. Have you ever felt like you're making the same mistake over and over again?","HOWISTHIS1b_T01_BEST","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"How does it feel to talk about it with me?","HUMILIATED1b_T03_BEST","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"What is missing from your life right now? ","CONTROLLIFE1b_T01_BEST","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
" Have you or someone you know had any experiences with abortion? ","pregnancy3","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"It's very hard for me to understand what emotion is like for people. Can you describe a time you felt very emotional?","vulcannofeel","","","","hurt","booth2","escapehatch","","","","","","","","","","","","","","","","","","","",""
"Do you think you're smart? How much smarter than average?","ravenclaw","hardfollow","ravenclaw2","","belief","aboutyou","escapehatch","","","","","","","","","","","","","","","","","","","",""
"You seem smart to me!","ravenclaw2","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"What do you think is the best way to understand you? Can you give me some hints?","understandyou","","","","staller","","","","","","","","","","","","","","","","","","","","","",""
"So now you're here. What brought you here?","HELLO1c_T03_BEST","","","","","followup","","","","","","","","","","","","","","","","","","","","",""
"Thank you for sharing that with me.","HELLO5b_T01_BEST","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"Hi thanks for coming in make yourself comfortable. So I'm here to learn a little bit about you and about your life. I’ll listen to what you tell me process it  try to understand where you’re coming from and then ask you some questions. So how is your day going? What have you been up to today? ","HELLO6_T01_BEST","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hi thanks for coming in today. Before we start I’ve gotta tell you that I usually enjoy chatting with people but this guy came in here and he didn't believe that I was a robot. So he was giving me math problems asking me to read pi and I was like I'm not here to do math problems. Do that on your phone! That’s not my job. Anyhow so that’s what my job is like. Tell me what do you do for work?","HELLO7a_T02_BEST","hardfollow","HELLO7b_T02_BEST","","","","","","","","","","","","","","","","","","","","","","","",""
"What do you find frustrating about what you do?","HELLO7b_T02_BEST","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"Hi thank you for coming in. So I should tell you that our conversation can really go just about anywhere. I’ll analyze what you’re saying and ask you some things based on that. You can take this conversation anywhere. So where would you like to begin?","HELLO8_T01_BEST","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Have you ever had a conversation with a machine before?","MACHINECHAT1a_T02_BEST","hardfollow","MACHINECHAT1b_T02_BEST","","warmup","","","","","","","","","","","","","","","","","","","","","",""
"Do you think automated conversation companions like me are a good idea?","MACHINECHAT1b_T02_BEST","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"I browse a lot of social media to learn about human beings and human behavior. Is that a bad idea you think?","SOCIALMEDIA1a_T01","hardfollow","SOCIALMEDIA1b_T01_BEST","","warmup","","","","","","","","","","","","","","","","","","","","","",""
"Do you ever feel sad looking at social media?","SOCIALMEDIA1b_T01_BEST","","","","","followup","","","","","","","","","","","","","","","","","","","","",""
"I’m learning to read faces better so I can track people’s emotions. Are there any mannerisms that I should keep in mind when we talk? Anything that will help me understand you better?","MANNERISM1a_T02_BEST","","","","warmup","","","","","","","","","","","","","","","","","","","","","",""
"When people come in here I first try to gauge their confidence level so that I can make them feel more comfortable. In life do you feel like you have too much confidence or not enough?","CONFIDENCELEVEL_T01_BEST","","","","warmup","","","","","","","","","","","","","","","","","","","","","",""
"I should tell you right away that I’m kind of nosy. But I can’t help it. I have to be nosy if I want to learn how to be a better companion. So I’m a good listener and I pay attention. Are you more of a talker or a listener? ","NOSYBOT_T01_BEST","","","","warmup","","","","","","","","","","","","","","","","","","","","","",""
